id_municipio,sigla_uf,ano,meta,metodologia
1101559,RO,2027,0.8368,herda_trajetoria_uf_v1
1101559,RO,2028,0.8912,herda_trajetoria_uf_v1
1101559,RO,2029,0.9456,herda_trajetoria_uf_v1
1101559,RO,2030,1.0,herda_trajetoria_uf_v1
1101609,RO,2024,0.6735,herda_trajetoria_uf_v1
1101609,RO,2025,0.7279,herda_trajetoria_uf_v1
1101609,RO,2026,0.7823,herda_trajetoria_uf_v1
1101609,RO,2027,0.8368,herda_trajetoria_uf_v1
1101609,RO,2028,0.8912,herda_trajetoria_uf_v1
1101609,RO,2029,0.9456,herda_trajetoria_uf_v1
1101609,RO,2030,1.0,herda_trajetoria_uf_v1
1101708,RO,2024,0.6735,herda_trajetoria_uf_v1
1101708,RO,2025,0.7279,herda_trajetoria_uf_v1
1101708,RO,2026,0.7823,herda_trajetoria_uf_v1
1101708,RO,2027,0.8368,herda_trajetoria_uf_v1
1101708,RO,2028,0.8912,herda_trajetoria_uf_v1
1101708,RO,2029,0.9456,herda_trajetoria_uf_v1
1101708,RO,2030,1.0,herda_trajetoria_uf_v1
1101757,RO,2024,0.6735,herda_trajetoria_uf_v1
1101757,RO,2025,0.7279,herda_trajetoria_uf_v1
1101757,RO,2026,0.7823,herda_trajetoria_uf_v1
1101757,RO,2027,0.8368,herda_trajetoria_uf_v1
1101757,RO,2028,0.8912,herda_trajetoria_uf_v1
1101757,RO,2029,0.9456,herda_trajetoria_uf_v1
1101757,RO,2030,1.0,herda_trajetoria_uf_v1
1101807,RO,2024,0.6735,herda_trajetoria_uf_v1
1101807,RO,2025,0.7279,herda_trajetoria_uf_v1
1101807,RO,2026,0.7823,herda_trajetoria_uf_v1
1101807,RO,2027,0.8368,herda_trajetoria_uf_v1
1101807,RO,2028,0.8912,herda_trajetoria_uf_v1
1101807,RO,2029,0.9456,herda_trajetoria_uf_v1
1101807,RO,2030,1.0,herda_trajetoria_uf_v1
1200013,AC,2024,0.5871,herda_trajetoria_uf_v1
1200013,AC,2025,0.6559,herda_trajetoria_uf_v1
1200013,AC,2026,0.7247,herda_trajetoria_uf_v1
1200013,AC,2027,0.7936,herda_trajetoria_uf_v1
1200013,AC,2028,0.8624,herda_trajetoria_uf_v1
1200013,AC,2029,0.9312,herda_trajetoria_uf_v1
1200013,AC,2030,1.0,herda_trajetoria_uf_v1
1200054,AC,2024,0.5871,herda_trajetoria_uf_v1
1200054,AC,2025,0.6559,herda_trajetoria_uf_v1
1200054,AC,2026,0.7247,herda_trajetoria_uf_v1
1200054,AC,2027,0.7936,herda_trajetoria_uf_v1
1200054,AC,2028,0.8624,herda_trajetoria_uf_v1
1200054,AC,2029,0.9312,herda_trajetoria_uf_v1
1200054,AC,2030,1.0,herda_trajetoria_uf_v1
1200104,AC,2024,0.5871,herda_trajetoria_uf_v1
1200104,AC,2025,0.6559,herda_trajetoria_uf_v1
1200104,AC,2026,0.7247,herda_trajetoria_uf_v1
1200104,AC,2027,0.7936,herda_trajetoria_uf_v1
1200104,AC,2028,0.8624,herda_trajetoria_uf_v1
1200104,AC,2029,0.9312,herda_trajetoria_uf_v1
1200104,AC,2030,1.0,herda_trajetoria_uf_v1
1200138,AC,2024,0.5871,herda_trajetoria_uf_v1
1200138,AC,2025,0.6559,herda_trajetoria_uf_v1
1200138,AC,2026,0.7247,herda_trajetoria_uf_v1
1200138,AC,2027,0.7936,herda_trajetoria_uf_v1
1200138,AC,2028,0.8624,herda_trajetoria_uf_v1
1200138,AC,2029,0.9312,herda_trajetoria_uf_v1
1200138,AC,2030,1.0,herda_trajetoria_uf_v1
1200179,AC,2024,0.5871,herda_trajetoria_uf_v1
1200179,AC,2025,0.6559,herda_trajetoria_uf_v1
1200179,AC,2026,0.7247,herda_trajetoria_uf_v1
1200179,AC,2027,0.7936,herda_trajetoria_uf_v1
1200179,AC,2028,0.8624,herda_trajetoria_uf_v1
1200179,AC,2029,0.9312,herda_trajetoria_uf_v1
1200179,AC,2030,1.0,herda_trajetoria_uf_v1
1200203,AC,2024,0.5871,herda_trajetoria_uf_v1
1200203,AC,2025,0.6559,herda_trajetoria_uf_v1
1200203,AC,2026,0.7247,herda_trajetoria_uf_v1
1200203,AC,2027,0.7936,herda_trajetoria_uf_v1
1200203,AC,2028,0.8624,herda_trajetoria_uf_v1
1200203,AC,2029,0.9312,herda_trajetoria_uf_v1
1200203,AC,2030,1.0,herda_trajetoria_uf_v1
1200252,AC,2024,0.5871,herda_trajetoria_uf_v1
1200252,AC,2025,0.6559,herda_trajetoria_uf_v1
1200252,AC,2026,0.7247,herda_trajetoria_uf_v1
1200252,AC,2027,0.7936,herda_trajetoria_uf_v1
1200252,AC,2028,0.8624,herda_trajetoria_uf_v1
1200252,AC,2029,0.9312,herda_trajetoria_uf_v1
1200252,AC,2030,1.0,herda_trajetoria_uf_v1
1200302,AC,2024,0.5871,herda_trajetoria_uf_v1
1200302,AC,2025,0.6559,herda_trajetoria_uf_v1
1200302,AC,2026,0.7247,herda_trajetoria_uf_v1
1200302,AC,2027,0.7936,herda_trajetoria_uf_v1
1200302,AC,2028,0.8624,herda_trajetoria_uf_v1
1200302,AC,2029,0.9312,herda_trajetoria_uf_v1
1200302,AC,2030,1.0,herda_trajetoria_uf_v1
1200328,AC,2024,0.5871,herda_trajetoria_uf_v1
1200328,AC,2025,0.6559,herda_trajetoria_uf_v1
1200328,AC,2026,0.7247,herda_trajetoria_uf_v1
1200328,AC,2027,0.7936,herda_trajetoria_uf_v1
1200328,AC,2028,0.8624,herda_trajetoria_uf_v1
1200328,AC,2029,0.9312,herda_trajetoria_uf_v1
1200328,AC,2030,1.0,herda_trajetoria_uf_v1
1200336,AC,2024,0.5871,herda_trajetoria_uf_v1
1200336,AC,2025,0.6559,herda_trajetoria_uf_v1
1200336,AC,2026,0.7247,herda_trajetoria_uf_v1
1200336,AC,2027,0.7936,herda_trajetoria_uf_v1
1200336,AC,2028,0.8624,herda_trajetoria_uf_v1
1200336,AC,2029,0.9312,herda_trajetoria_uf_v1
1200336,AC,2030,1.0,herda_trajetoria_uf_v1
1200344,AC,2024,0.5871,herda_trajetoria_uf_v1
1200344,AC,2025,0.6559,herda_trajetoria_uf_v1
1200344,AC,2026,0.7247,herda_trajetoria_uf_v1
1200344,AC,2027,0.7936,herda_trajetoria_uf_v1
1200344,AC,2028,0.8624,herda_trajetoria_uf_v1
1200344,AC,2029,0.9312,herda_trajetoria_uf_v1
1200344,AC,2030,1.0,herda_trajetoria_uf_v1
1200351,AC,2024,0.5871,herda_trajetoria_uf_v1
1200351,AC,2025,0.6559,herda_trajetoria_uf_v1
1200351,AC,2026,0.7247,herda_trajetoria_uf_v1
1200351,AC,2027,0.7936,herda_trajetoria_uf_v1
1200351,AC,2028,0.8624,herda_trajetoria_uf_v1
1200351,AC,2029,0.9312,herda_trajetoria_uf_v1
1200351,AC,2030,1.0,herda_trajetoria_uf_v1
1200385,AC,2024,0.5871,herda_trajetoria_uf_v1
1200385,AC,2025,0.6559,herda_trajetoria_uf_v1
1200385,AC,2026,0.7247,herda_trajetoria_uf_v1
1200385,AC,2027,0.7936,herda_trajetoria_uf_v1
1200385,AC,2028,0.8624,herda_trajetoria_uf_v1
1200385,AC,2029,0.9312,herda_trajetoria_uf_v1
1200385,AC,2030,1.0,herda_trajetoria_uf_v1
1200393,AC,2024,0.5871,herda_trajetoria_uf_v1
1200393,AC,2025,0.6559,herda_trajetoria_uf_v1
1200393,AC,2026,0.7247,herda_trajetoria_uf_v1
1200393,AC,2027,0.7936,herda_trajetoria_uf_v1
1200393,AC,2028,0.8624,herda_trajetoria_uf_v1
1200393,AC,2029,0.9312,herda_trajetoria_uf_v1
1200393,AC,2030,1.0,herda_trajetoria_uf_v1
1200401,AC,2024,0.5871,herda_trajetoria_uf_v1
1200401,AC,2025,0.6559,herda_trajetoria_uf_v1
